aaba	æː b æ
regeni	r e ɡ e n i
reggio	r e ɡ ɡ i ɔ
regreg	r e ɡ r e ɡ
rehabilitation	r e h æ b i l i t æ t i ɔ n
rehane	r e h æ n e
reheniyaam	r e h e n i j æː m
rehman	r e h m æ n
rei	r e i
reichst	r e i ʕ h s t
reine	r e i n e
reinsalu	r e i n s æ l u
relief	r e l i e f
remi	r e m i
rensburg	r e n s b u r ɡ
replay	r e l æ j
repsol	r e s ɔ l
republic	r e u b l i ʕ
rer	r e r
rescue	r e s ʕ u e
research	r e s e æ r ʕ h
resinka	r e s i n k æ
resort	r e s ɔ r t
restaurant	r e s t æ u r æ n t
restaurants	r e s t æ u r æ n t s
retba	r e t b æ
rethabile	r e t h æ b i l e
revenge	r e e n ɡ e
revival	r e i æ l
revolutionary	r e ɔ l u t i ɔ n æ r j
rewat	r e w æ t
rexha	r e ħ h æ
rexxie	r e ħ ħ i e
rey	r e j
reyneke	r e j n e k e
rez	r e
reza	r e æ
rezayee	r e æ j eː
rf	r f
rfa	r f æ
rg	r ɡ
rh	r h
rhea	r h e æ
rhenium	r h e n i u m
rhinna	r h i n n æ
rhode	r h ɔ d e
rhodium	r h ɔ d i u m
rhythm	r h j t h m
ri	r i
riad	r i æ d
rian	r i æ n
rianne	r i æ n n e
rib	r i b
ribaax	r i b æː ħ
ribeira	r i b e i r æ
ribeiro	r i b e i r ɔ
rica	r i ʕ æ
richard	r i ʕ h æ r d
richards	r i ʕ h æ r d s
richie	r i ʕ h i e
ricir	r i ʕ i r
rick	r i ʕ k
ricky	r i ʕ k j
rida	r i d æ
ridaa	r i d æː
ridada	r i d æ d æ
rididda	r i d i d d æ
ridwaan	r i d w æː n
rie	r i e
riemvasmaak	r i e m æ s m æː k
rif	r i f
rifles	r i f l e s
rift	r i f t
rigomane	r i ɡ ɔ m æ n e
rihanna	r i h æ n n æ
riina	r iː n æ
riixka	r iː ħ k æ
rika	r i k æ
rikhaaye	r i χ æː j e
rikter	r i k t e r
riku	r i k u
rim	r i m
rimintooyada	r i m i n t ɔː j æ d æ
rin	r i n
rina	r i n æ
rinc	r i n ʕ
rings	r i n ɡ s
rinjeele	r i n d͡ʒ eː l e
rinji	r i n d͡ʒ i
rinjiga	r i n d͡ʒ i ɡ æ
rinjiile	r i n d͡ʒ iː l e
rio	r i ɔ
ris	r i s
risaala	r i s æː l æ
rita	r i t æ
rivella	r i e l l æ
rivera	r i e r æ
riwaayad	r i w æː j æ d
rixlaat	r i ħ l æː t
riyaad	r i j æː d
riyaal	r i j æː l
riyaale	r i j æː l e
riyaalu	r i j æː l u
riyo	r i j ɔ
rizak	r i æ k
rizer	r i e r
rizi	r i i
rizvi	r i i
rj	r d͡ʒ
rms	r m s
rn	r n
rna	r n æ
roald	r ɔ æ l d
robbie	r ɔ b b i e
robbins	r ɔ b b i n s
robert	r ɔ b e r t
roberto	r ɔ b e r t ɔ
roberts	r ɔ b e r t s
robin	r ɔ b i n
robina	r ɔ b i n æ
robinho	r ɔ b i n h ɔ
robins	r ɔ b i n s
roble	r ɔ b l e
robles	r ɔ b l e s
robot	r ɔ b ɔ t
robotka	r ɔ b ɔ t k æ
robow	r ɔ b ɔ w
roch	r ɔ ʕ h
rocha	r ɔ ʕ h æ
rochas	r ɔ ʕ h æ s
rochester	r ɔ ʕ h e s t e r
rock	r ɔ ʕ k
rodolfo	r ɔ d ɔ l f ɔ
rodos	r ɔ d ɔ s
rodrigo	r ɔ d r i ɡ ɔ
roelof	r ɔ e l ɔ f
roentgeniyaam	r ɔ e n t ɡ e n i j æː m
rogaal	r ɔ ɡ æː l
rogaland	r ɔ ɡ æ l æ n d
roger	r ɔ ɡ e r
rogmashada	r ɔ ɡ m æ ʃ æ d æ
rojas	r ɔ d͡ʒ æ s
rojester	r ɔ d͡ʒ e s t e r
rolfes	r ɔ l f e s
rolls	r ɔ l l s
rom	r ɔ m
roma	r ɔ m æ
roman	r ɔ m æ n
romani	r ɔ m æ n i
romania	r ɔ m æ n i æ
romaniya	r ɔ m æ n i j æ
romashkino	r ɔ m æ ʃ k i n ɔ
romeo	r ɔ m e ɔ
romero	r ɔ m e r ɔ
rompaey	r ɔ m æ e j
romuald	r ɔ m u æ l d
romulo	r ɔ m u l ɔ
ron	r ɔ n
ronald	r ɔ n æ l d
ronaldo	r ɔ n æ l d ɔ
rong	r ɔ n ɡ
ronke	r ɔ n k e
roob	r ɔː b
roobaad	r ɔː b æː d
roobab	r ɔː b æ b
roobka	r ɔː b k æ
rooble	r ɔː b l e
rooboow	r ɔː b ɔː w
roobow	r ɔː b ɔ w
roodhi	r ɔː ɖ i
roodhiyaam	r ɔː ɖ i j æː m
roomaani	r ɔː m æː n i
roomaaniya	r ɔː m æː n i j æ
roomaanku	r ɔː m æː n k u
roomaansi	r ɔː m æː n s i
rooman	r ɔː m æ n
roomanka	r ɔː m æ n k æ
roor	r ɔː r
roorashadii	r ɔː r æ ʃ æ d iː
roos	r ɔː s
roothman	r ɔː t h m æ n
rooti	r ɔː t i
roox	r ɔː ħ
ropac	r ɔ æ ʕ
roro	r ɔ r ɔ
ros	r ɔ s
rosa	r ɔ s æ
rosario	r ɔ s æ r i ɔ
rose	r ɔ s e
roseby	r ɔ s e b j
roseires	r ɔ s e i r e s
rosetta	r ɔ s e t t æ
roshan	r ɔ ʃ æ n
rosie	r ɔ s i e
rosjan	r ɔ s d͡ʒ æ n
rosneft	r ɔ s n e f t
rosoo	r ɔ s ɔː
rotterdam	r ɔ t t e r d æ m
rou	r ɔ u
roubaix	r ɔ u b æ i ħ
roxana	r ɔ ħ æ n æ
roxane	r ɔ ħ æ n e
roxy	r ɔ ħ j
roy	r ɔ j
royce	r ɔ j ʕ e
roz	r ɔ
rpd	r d
rpg	r ɡ
rpk	r k
rrez	r r e
rsf	r s f
rts	r t s
ru	r u
ruacana	r u æ ʕ æ n æ
ruano	r u æ n ɔ
rubad	r u b æ d
rubidium	r u b i d i u m
rubiidhiyaam	r u b iː ɖ i j æː m
rubina	r u b i n æ
rubona	r u b ɔ n æ
rubuc	r u b u ʕ
ruby	r u b j
rudi	r u d i
rudolf	r u d ɔ l f
rudolph	r u d ɔ l h
ruduhira	r u d u h i r æ
ruga	r u ɡ æ
rugamura	r u ɡ æ m u r æ
rugut	r u ɡ u t
ruhollah	r u h ɔ l l æ h
ruhondo	r u h ɔ n d ɔ
rukayya	r u k æ j j æ
rukh	r u χ
ruknudiin	r u k n u d iː n
rukwa	r u k w æ
rumeed	r u m eː d
run	r u n
runway	r u n w æ j
ruo	r u ɔ
rupee	r u eː
ruqiya	r u q i j æ
rurata	r u r æ t æ
ruska	r u s k æ
russell	r u s s e l l
russia	r u s s i æ
russka	r u s s k æ
rususha	r u s u ʃ æ
ruth	r u t h
ruthenium	r u t h e n i u m
rutheniyaam	r u t h e n i j æː m
rutherfordium	r u t h e r f ɔ r d i u m
rutshuru	r u t ʃ u r u
rutte	r u t t e
ruufiyaan	r uː f i j æː n
ruum	r uː m
ruun	r uː n
ruunshiikhow	r uː n ʃ iː χ ɔ w
ruush	r uː ʃ
ruushka	r uː ʃ k æ
ruuska	r uː s k æ
ruwaayad	r u w æː j æ d
ruwanda	r u w æ n d æ
rve	r e
rwanda	r w æ n d æ
rwanyakazinga	r w æ n j æ k æ i n ɡ æ
rwihinda	r w i h i n d æ
rwizongo	r w i ɔ n ɡ ɔ
ry	r j
ryan	r j æ n
rye	r j e
ryszard	r j s æ r d
ryu	r j u
ryujin	r j u d͡ʒ i n
rz	r
sa	s æ
saa	s æː
saabaan	s æː b æː n
saabiriin	s æː b i r iː n
saabuun	s æː b uː n
saac	s æː ʕ
saacad	s æː ʕ æ d
saacada	s æː ʕ æ d æ
saacadda	s æː ʕ æ d d æ
saacadeed	s æː ʕ æ d eː d
saacadiin	s æː ʕ æ d iː n
saacid	s æː ʕ i d
saaciida	s æː ʕ iː d æ
saad	s æː d
saadaam	s æː d æː m
saadaasha	s æː d æː ʃ æ
saadiyom	s æː d i j ɔ m
saado	s æː d ɔ
saafi	s æː f i
saakow	s æː k ɔ w
saalax	s æː l æ ħ
saalim	s æː l i m
saalixiin	s æː l i ħ iː n
saam	s æː m
saamaysay	s æː m æ j s æ j
saambiya	s æː m b i j æ
saami	s æː m i
saamiya	s æː m i j æ
saanac	s æː n æ ʕ
saangur	s æː n ɡ u r
saanxume	s æː n ħ u m e
saar	s æː r
saarista	s æː r i s t æ
saat	s æː t
saaxdheer	s æː ħ ɖ eː r
saaxiibtinimada	s æː ħ iː b t i n i m æ d æ
saaxiil	s æː ħ iː l
saaxil	s æː ħ i l
saay	s æː j
saayid	s æː j i d
saayir	s æː j i r
sab	s æ b
saba	s æ b æ
sabaayad	s æ b æː j æ d
sababay	s æ b æ b æ j
sabacad	s æ b æ ʕ æ d
saban	s æ b æ n
sabawanag	s æ b æ w æ n æ ɡ
sabdi	s æ b d i
sabelo	s æ b e l ɔ
sabiha	s æ b i h æ
sabiib	s æ b iː b
sabiix	s æ b iː ħ
sablaale	s æ b l æː l e
sabool	s æ b ɔː l
sabrina	s æ b r i n æ
sabti	s æ b t i
sabtiye	s æ b t i j e
sabuur	s æ b uː r
sac	s æ ʕ
sacab	s æ ʕ æ b
sacad	s æ ʕ æ d
sacadin	s æ ʕ æ d i n
sacdudiin	s æ ʕ d u d iː n
saciid	s æ ʕ iː d
saciido	s æ ʕ iː d ɔ
sacks	s æ ʕ k s
saclay	s æ ʕ l æ j
sacmadeeqa	s æ ʕ m æ d eː q æ
sacral	s æ ʕ r æ l
sacramento	s æ ʕ r æ m e n t ɔ
sacuudi	s æ ʕ uː d i
sacuudiga	s æ ʕ uː d i ɡ æ
sad	s æ d
sada	s æ d æ
sadaam	s æ d æː m
sadam	s æ d æ m
sadaqo	s æ d æ q ɔ
sadau	s æ d æ u
sadax	s æ d æ ħ
sadaxleey	s æ d æ ħ l eː j
sadd	s æ d d
saddax	s æ d d æ ħ
saddex	s æ d d e ħ
saddexaad	s æ d d e ħ æː d
saddexagal	s æ d d e ħ æ ɡ æ l
saddexjibaarane	s æ d d e ħ d͡ʒ i b æː r æ n e
saddexleey	s æ d d e ħ l eː j
saddiq	s æ d d i q
sadex	s æ d e ħ
sadexbaar	s æ d e ħ b æː r
sadiiq	s æ d iː q
sadiq	s æ d i q
sadler	s æ d l e r
sadowska	s æ d ɔ w s k æ
saeed	s æ eː d
safa	s æ f æ
safaaradaha	s æ f æː r æ d æ h æ
safar	s æ f æ r
safarka	s æ f æ r k æ
safawiyiinta	s æ f æ w i j iː n t æ
saffar	s æ f f æ r
safiina	s æ f iː n æ
safiirada	s æ f iː r æ d æ
safiya	s æ f i j æ
safran	s æ f r æ n
sagaal	s æ ɡ æː l
sagaalka	s æ ɡ æː l k æ
sagaaro	s æ ɡ æː r ɔ
sagaashan	s æ ɡ æː ʃ æ n
sahamaitso	s æ h æ m æ i t s ɔ
sahamiyi	s æ h æ m i j i
sahanka	s æ h æ n k æ
sahar	s æ h æ r
sahara	s æ h æ r æ
sahatandra	s æ h æ t æ n d r æ
sahba	s æ h b æ
sahel	s æ h e l
sahib	s æ h i b
sahlaansan	s æ h l æː n s æ n
sahle	s æ h l e
saho	s æ h ɔ
sahofika	s æ h ɔ f i k æ
sahra	s æ h r æ
sahro	s æ h r ɔ
saida	s æ i d æ
saidu	s æ i d u
saif	s æ i f
saiid	s æ iː d
saint	s æ i n t
saira	s æ i r æ
sait	s æ i t
saitama	s æ i t æ m æ
saka	s æ k æ
sakaar	s æ k æː r
sakada	s æ k æ d æ
sakariye	s æ k æ r i j e
sake	s æ k e
saker	s æ k e r
sako	s æ k ɔ
sakura	s æ k u r æ
sakurako	s æ k u r æ k ɔ
sal	s æ l
salaad	s æ l æː d
salaada	s æ l æː d æ
salaadda	s æ l æː d d æ
salaajiqada	s æ l æː d͡ʒ i q æ d æ
salaam	s æ l æː m
salaan	s æ l æː n
salaancarrabey	s æ l æː n ʕ æ r r æ b e j
salaaniik	s æ l æː n iː k
salaar	s æ l æː r
salaat	s æ l æː t
salaaxudiin	s æ l æː ħ u d iː n
salad	s æ l æ d
saladh	s æ l æ ɖ
salafiya	s æ l æ f i j æ
salagle	s æ l æ ɡ l e
salah	s æ l æ h
salal	s æ l æ l
salam	s æ l æ m
salamat	s æ l æ m æ t
salatiel	s æ l æ t i e l
salaudeen	s æ l æ u d eː n
salax	s æ l æ ħ
salaxleey	s æ l æ ħ l eː j
salaxudiin	s æ l æ ħ u d iː n
salazar	s æ l æ æ r
saldaanada	s æ l d æː n æ d æ
saldanab	s æ l d æ n æ b
saldanada	s æ l d æ n æ d æ
saldanaddihii	s æ l d æ n æ d d i h iː
saldanaddii	s æ l d æ n æ d d iː
saldanadi	s æ l d æ n æ d i
saldanadihii	s æ l d æ n æ d i h iː
saldanadii	s æ l d æ n æ d iː
saldanha	s æ l d æ n h æ
saldhig	s æ l ɖ i ɡ
saldhiga	s æ l ɖ i ɡ æ
saldhigga	s æ l ɖ i ɡ ɡ æ
saldka	s æ l d k æ
saleban	s æ l e b æ n
saleebaan	s æ l eː b æː n
saleeban	s æ l eː b æ n
salem	s æ l e m
salfadoor	s æ l f æ d ɔː r
salfador	s æ l f æ d ɔ r
salfar	s æ l f æ r
salidka	s æ l i d k æ
salihu	s æ l i h u
saliid	s æ l iː d
saliidaha	s æ l iː d æ h æ
saliidda	s æ l iː d d æ
saliim	s æ l iː m
salisbury	s æ l i s b u r j
sall	s æ l l
sally	s æ l l j
salma	s æ l m æ
salmaan	s æ l m æː n
salman	s æ l m æ n
salo	s æ l ɔ
salool	s æ l ɔː l
saloum	s æ l ɔ u m
salsiyas	s æ l s i j æ s
salva	s æ l æ
salvador	s æ l æ d ɔ r
salxaale	s æ l ħ æː l e
salzhaff	s æ l h æ f f
sam	s æ m
samaale	s æ m æː l e
samakab	s æ m æ k æ b
samakeenmedia	s æ m æ k eː n m e d i æ
samane	s æ m æ n e
samaroob	s æ m æ r ɔː b
samaroon	s æ m æ r ɔː n
samaroonaan	s æ m æ r ɔː n æː n
samarooney	s æ m æ r ɔː n e j
samaroonka	s æ m æ r ɔː n k æ
samarqanda	s æ m æ r q æ n d æ
samatar	s æ m æ t æ r
samater	s æ m æ t e r
samaya	s æ m æ j æ
samayanta	s æ m æ j æ n t æ
samaynta	s æ m æ j n t æ
samaysiga	s æ m æ j s i ɡ æ
samayska	s æ m æ j s k æ
sambab	s æ m b æ b
sambuus	s æ m b uː s
sambuusa	s æ m b uː s æ
samet	s æ m e t
samfya	s æ m f j æ
sami	s æ m i
samia	s æ m i æ
samiir	s æ m iː r
samiira	s æ m iː r æ
samir	s æ m i r
samirsiin	s æ m i r s iː n
samke	s æ m k e
samo	s æ m ɔ
samoa	s æ m ɔ æ
samotaliye	s æ m ɔ t æ l i j e
sampa	s æ m æ
sampson	s æ m s ɔ n
samson	s æ m s ɔ n
samsun	s æ m s u n
samsung	s æ m s u n ɡ
samuel	s æ m u e l
samui	s æ m u i
samwel	s æ m w e l
san	s æ n
sana	s æ n æ
sanaag	s æ n æː ɡ
sanab	s æ n æ b
sanad	s æ n æ d
sanadihii	s æ n æ d i h iː
sanadka	s æ n æ d k æ
sanam	s æ n æ m
sanbab	s æ n b æ b
sanbuuse	s æ n b uː s e
sanca	s æ n ʕ æ
sandberg	s æ n d b e r ɡ
sandefjord	s æ n d e f d͡ʒ ɔ r d
sandi	s æ n d i
sandilands	s æ n d i l æ n d s
sandra	s æ n d r æ
sandrangato	s æ n d r æ n ɡ æ t ɔ
sandton	s æ n d t ɔ n
sanduuqa	s æ n d uː q æ
sandwich	s æ n d w i ʕ h
sandwij	s æ n d w i d͡ʒ
sanell	s æ n e l l
sanford	s æ n f ɔ r d
sanfourche	s æ n f ɔ u r ʕ h e
sangtaweep	s æ n ɡ t æ w eː
sangub	s æ n ɡ u b
sanguuni	s æ n ɡ uː n i
sangweni	s æ n ɡ w e n i
sani	s æ n i
sanilac	s æ n i l æ ʕ
sankara	s æ n k æ r æ
sankofa	s æ n k ɔ f æ
sannadka	s æ n n æ d k æ
sano	s æ n ɔ
sanskrit	s æ n s k r i t
santa	s æ n t æ
santes	s æ n t e s
santiyaago	s æ n t i j æː ɡ ɔ
santo	s æ n t ɔ
sanwij	s æ n w i d͡ʒ
sao	s æ ɔ
saoura	s æ ɔ u r æ
sapporo	s æ ɔ r ɔ
saq	s æ q
saqadhi	s æ q æ ɖ i
saqafka	s æ q æ f k æ
saqiiro	s æ q iː r ɔ
sar	s æ r
sara	s æ r æ
saraar	s æ r æː r
sarah	s æ r æ h
sarahyba	s æ r æ h j b æ
sarajevo	s æ r æ d͡ʒ e ɔ
saransoor	s æ r æ n s ɔː r
sarar	s æ r æ r
saratu	s æ r æ t u
saravuth	s æ r æ u t h
sardar	s æ r d æ r
sardiiniya	s æ r d iː n i j æ
sare	s æ r e
sareen	s æ r eː n
sareeya	s æ r eː j æ
sareh	s æ r e h
sarhaye	s æ r h æ j e
sarifka	s æ r i f k æ
sariir	s æ r iː r
sarjeelle	s æ r d͡ʒ eː l l e
sarkozy	s æ r k ɔ j
sarmaan	s æ r m æː n
sarmaanyo	s æ r m æː n j ɔ
sarmiento	s æ r m i e n t ɔ
sarpsborg	s æ r s b ɔ r ɡ
sarra	s æ r r æ
sarthe	s æ r t h e
saruur	s æ r uː r
sasaeng	s æ s æ e n ɡ
sasak	s æ s æ k
sasha	s æ ʃ æ
sasiiliya	s æ s iː l i j æ
sassou	s æ s s ɔ u
sassy	s æ s s j
satellite	s æ t e l l i t e
saturn	s æ t u r n
saudi	s æ u d i
saul	s æ u l
savage	s æ æ ɡ e
savante	s æ æ n t e
save	s æ e
saving	s æ i n ɡ
saw	s æ w
sawaaxili	s æ w æː ħ i l i
sawaaxiliga	s æ w æː ħ i l i ɡ æ
saweetie	s æ w eː t i e
sawir	s æ w i r
sawirka	s æ w i r k æ
sawirqaado	s æ w i r q æː d ɔ
saxaaba	s æ ħ æː b æ
saxaabada	s æ ħ æː b æ d æ
saxaabi	s æ ħ æː b i
saxaafad	s æ ħ æː f æ d
saxaara	s æ ħ æː r æ
saxaax	s æ ħ æː ħ
saxaaxda	s æ ħ æː ħ d æ
saxaaxeed	s æ ħ æː ħ eː d
saxafi	s æ ħ æ f i
saxan	s æ ħ æ n
saxanle	s æ ħ æ n l e
saxaqurun	s æ ħ æ q u r u n
saxara	s æ ħ æ r æ
saxaraha	s æ ħ æ r æ h æ
saxare	s æ ħ æ r e
saxaro	s æ ħ æ r ɔ
saxeexida	s æ ħ eː ħ i d æ
saxifraga	s æ ħ i f r æ ɡ æ
saxiix	s æ ħ iː ħ
saxiixu	s æ ħ iː ħ u
saxiixul	s æ ħ iː ħ u l
saxo	s æ ħ ɔ
saxons	s æ ħ ɔ n s
say	s æ j
sayda	s æ j d æ
sayid	s æ j i d
sayidka	s æ j i d k æ
saylaami	s æ j l æː m i
saylac	s æ j l æ ʕ
saylici	s æ j l i ʕ i
saymayanta	s æ j m æ j æ n t æ
saynab	s æ j n æ b
saynis	s æ j n i s
sayniska	s æ j n i s k æ
sayrus	s æ j r u s
saytuun	s æ j t uː n
sayyid	s æ j j i d
sb	s b
sbs	s b s
sc	s ʕ
scandium	s ʕ æ n d i u m
scarlet	s ʕ æ r l e t
scarlett	s ʕ æ r l e t t
schafer	s ʕ h æ f e r
schafhausen	s ʕ h æ f h æ u s e n
schalkwyk	s ʕ h æ l k w j k
schiphol	s ʕ h i h ɔ l
schler	s ʕ h l e r
schoeman	s ʕ h ɔ e m æ n
schofield	s ʕ h ɔ f i e l d
schonland	s ʕ h ɔ n l æ n d
school	s ʕ h ɔː l
schools	s ʕ h ɔː l s
schoor	s ʕ h ɔː r
schorm	s ʕ h ɔ r m
schreiber	s ʕ h r e i b e r
schreiner	s ʕ h r e i n e r
schreuders	s ʕ h r e u d e r s
schultz	s ʕ h u l t
schumacher	s ʕ h u m æ ʕ h e r
schwerin	s ʕ h w e r i n
science	s ʕ i e n ʕ e
sciences	s ʕ i e n ʕ e s
sco	s ʕ ɔ
scott	s ʕ ɔ t t
script	s ʕ r i t
scullark	s ʕ u l l æ r k
se	s e
sea	s e æ
seaborgium	s e æ b ɔ r ɡ i u m
sealy	s e æ l j
sean	s e æ n
search	s e æ r ʕ h
searle	s e æ r l e
seat	s e æ t
seattle	s e æ t t l e
sebaanka	s e b æː n k æ
sebastian	s e b æ s t i æ n
sebdeembar	s e b d eː m b æ r
sebeneed	s e b e n eː d
sebenka	s e b e n k æ
sebidi	s e b i d i
sebkha	s e b χ æ
sebkhet	s e b χ e t
sebotsane	s e b ɔ t s æ n e
sebriye	s e b r i j e
sebteembar	s e b t eː m b æ r
second	s e ʕ ɔ n d
secondary	s e ʕ ɔ n d æ r j
secret	s e ʕ r e t
section	s e ʕ t i ɔ n
sedex	s e d e ħ
sedis	s e d i s
sedjibeke	s e d d͡ʒ i b e k e
seear	s eː æ r
seed	s eː d
seedi	s eː d i
seef	s eː f
seefudiin	s eː f u d iː n
seeni	s eː n i
seenus	s eː n u s
seepka	s eː k æ
seerbiya	s eː r b i j æ
seete	s eː t e
seetee	s eː t eː
seey	s eː j
sefako	s e f æ k ɔ
sei	s e i
seiblitz	s e i b l i t
seii	s e iː
seiphemo	s e i h e m ɔ
sekabunga	s e k æ b u n ɡ æ
sekgala	s e k ɡ æ l æ
sekoto	s e k ɔ t ɔ
sel	s e l
selam	s e l æ m
selel	s e l e l
selelo	s e l e l ɔ
selena	s e l e n æ
selenium	s e l e n i u m
seleniyaam	s e l e n i j æː m
selezneva	s e l e n e æ
selim	s e l i m
selita	s e l i t æ
selja	s e l d͡ʒ æ
sello	s e l l ɔ
selma	s e l m æ
selmar	s e l m æ r
selmer	s e l m e r
selolwane	s e l ɔ l w æ n e
seltana	s e l t æ n æ
selters	s e l t e r s
semafoor	s e m æ f ɔː r
semih	s e m i h
semitic	s e m i t i ʕ
semitiga	s e m i t i ɡ æ
semprebom	s e m r e b ɔ m
sena	s e n æ
senarclens	s e n æ r ʕ l e n s
senary	s e n æ r j
sendje	s e n d d͡ʒ e
seneca	s e n e ʕ æ
senegaal	s e n e ɡ æː l
senegal	s e n e ɡ æ l
seng	s e n ɡ
senofoobiya	s e n ɔ f ɔː b i j æ
senusret	s e n u s r e t
senzeni	s e n e n i
senzo	s e n ɔ
seo	s e ɔ
seoul	s e ɔ u l
septimius	s e t i m i u s
serbia	s e r b i æ
serena	s e r e n æ
serengeti	s e r e n ɡ e t i
seroofiit	s e r ɔː f iː t
serote	s e r ɔ t e
servetus	s e r e t u s
services	s e r i ʕ e s
sesi	s e s i
sessilee	s e s s i l eː
session	s e s s i ɔ n
set	s e t
sethembile	s e t h e m b i l e
seul	s e u l
seulgi	s e u l ɡ i
seun	s e u n
seven	s e e n
severus	s e e r u s
sextube	s e ħ t u b e
seychelles	s e j ʕ h e l l e s
seyfried	s e j f r i e d
seyi	s e j i
seylac	s e j l æ ʕ
seyni	s e j n i
seynis	s e j n i s
seyshelles	s e j ʃ e l l e s
seyul	s e j u l
sezer	s e e r
sfc	s f ʕ
sg	s ɡ
sh	ʃ
sha	ʃ æ
shaacbax	ʃ æː ʕ b æ ħ
shaadh	ʃ æː ɖ
shaadiya	ʃ æː d i j æ
shaafici	ʃ æː f i ʕ i
shaaficiya	ʃ æː f i ʕ i j æ
shaag	ʃ æː ɡ
shaah	ʃ æː h
shaakir	ʃ æː k i r
shaam	ʃ æː m
shaamareer	ʃ æː m æ r eː r
shaarawy	ʃ æː r æ w j
shaarbo	ʃ æː r b ɔ
shaarib	ʃ æː r i b
shaax	ʃ æː ħ
shabaab	ʃ æ b æː b
shabakadda	ʃ æ b æ k æ d d æ
shabalala	ʃ æ b æ l æ l æ
shabeel	ʃ æ b eː l
shabeelada	ʃ æ b eː l æ d æ
shabeelaha	ʃ æ b eː l æ h æ
shabeele	ʃ æ b eː l e
shabeellaha	ʃ æ b eː l l æ h æ
shabeelle	ʃ æ b eː l l e
shabel	ʃ æ b e l
shabelle	ʃ æ b e l l e
shabiixa	ʃ æ b iː ħ æ
shacab	ʃ æ ʕ æ b
shacabka	ʃ æ ʕ æ b k æ
shacbaan	ʃ æ ʕ b æː n
shacban	ʃ æ ʕ b æ n
shadrak	ʃ æ d r æ k
shady	ʃ æ d j
shafad	ʃ æ f æ d
shafes	ʃ æ f e s
shaffy	ʃ æ f f j
shafici	ʃ æ f i ʕ i
shaggi	ʃ æ ɡ ɡ i
shah	ʃ æ h
shahaadah	ʃ æ h æː d æ h
shahadah	ʃ æ h æ d æ h
shahrukh	ʃ æ h r u χ
shahwada	ʃ æ h w æ d æ
shahzad	ʃ æ h æ d
shahzada	ʃ æ h æ d æ
shahzia	ʃ æ h i æ
shaima	ʃ æ i m æ
shain	ʃ æ i n
shainman	ʃ æ i n m æ n
shaka	ʃ æ k æ
shakaal	ʃ æ k æː l
shakhsidarro	ʃ æ χ s i d æ r r ɔ
shakhsiyadda	ʃ æ χ s i j æ d d æ
shakhsiyadeed	ʃ æ χ s i j æ d eː d
shakiira	ʃ æ k iː r æ
shakira	ʃ æ k i r æ
shakur	ʃ æ k u r
shala	ʃ æ l æ
shalaanbood	ʃ æ l æː n b ɔː d
shalabi	ʃ æ l æ b i
shalay	ʃ æ l æ j
shalcaw	ʃ æ l ʕ æ w
shaleemada	ʃ æ l eː m æ d æ
shaleen	ʃ æ l eː n
shalmad	ʃ æ l m æ d
shalom	ʃ æ l ɔ m
shambay	ʃ æ m b æ j
shan	ʃ æ n
shanaad	ʃ æ n æː d
shanbal	ʃ æ n b æ l
shangaani	ʃ æ n ɡ æː n i
shangamaas	ʃ æ n ɡ æ m æː s
shanghai	ʃ æ n ɡ h æ i
shangi	ʃ æ n ɡ i
shanleey	ʃ æ n l eː j
shannon	ʃ æ n n ɔ n
shansho	ʃ æ n ʃ ɔ
shanta	ʃ æ n t æ
shaqa	ʃ æ q æ
shaqaaf	ʃ æ q æː f
shaqaalaha	ʃ æ q æː l æ h æ
shaqaale	ʃ æ q æː l e
shaqada	ʃ æ q æ d æ
shaqeyste	ʃ æ q e j s t e
shaqo	ʃ æ q ɔ
shaqohaye	ʃ æ q ɔ h æ j e
shaqsi	ʃ æ q s i
shaqsiyaad	ʃ æ q s i j æː d
shaqsiyadeed	ʃ æ q s i j æ d eː d
shar	ʃ æ r
sharabaado	ʃ æ r æ b æː d ɔ
sharawi	ʃ æ r æ w i
sharci	ʃ æ r ʕ i
sharcidajin	ʃ æ r ʕ i d æ d͡ʒ i n
sharciga	ʃ æ r ʕ i ɡ æ
sharcinimada	ʃ æ r ʕ i n i m æ d æ
share	ʃ æ r e
shareecada	ʃ æ r eː ʕ æ d æ
sharif	ʃ æ r i f
shariff	ʃ æ r i f f
shariicada	ʃ æ r iː ʕ æ d æ
shariif	ʃ æ r iː f
sharlto	ʃ æ r l t ɔ
sharma	ʃ æ r m æ
sharmaake	ʃ æ r m æː k e
sharmaarke	ʃ æ r m æː r k e
sharmarke	ʃ æ r m æ r k e
sharon	ʃ æ r ɔ n
sharoobo	ʃ æ r ɔː b ɔ
sharukh	ʃ æ r u χ
shashe	ʃ æ ʃ e
shashemene	ʃ æ ʃ e m e n e
shataranjiga	ʃ æ t æ r æ n d͡ʒ i ɡ æ
shatt	ʃ æ t t
shavkat	ʃ æ k æ t
shaw	ʃ æ w
shawaal	ʃ æ w æː l
shawr	ʃ æ w r
shawwal	ʃ æ w w æ l
shax	ʃ æ ħ
shaxan	ʃ æ ħ æ n
shaxda	ʃ æ ħ d æ
shay	ʃ æ j
shaydaan	ʃ æ j d æː n
shaydaanimadda	ʃ æ j d æː n i m æ d d æ
shaydaanimo	ʃ æ j d æː n i m ɔ
shaydaanka	ʃ æ j d æː n k æ
