aa	a a
pandan	p a n d̪̤ a n
pandawan	p a n d̪̤ a w a n
pandean	p a n d̪̤ e a n
pandeglang	p a n d̪̤ e ɡ̤ l a ŋ
pandeleng	p a n d̪̤ e l e ŋ
pandhak	p a n ɖ̤ a k
pandhan	p a n ɖ̤ a n
pandih	p a n d̪̤ i h
pandjaitan	p a n d̪̤ d͡ʒ̤ a i t a n
pane	p a n e
panembung	p a n e m b̤ u ŋ
panempatan	p a n e m p a t a n
panerus	p a n e r u s
pang	p a ŋ
panganan	p a ŋ a n a n
pangandaran	p a ŋ a n d̪̤ a r a n
pangaraian	p a ŋ a r a i a n
pangarengan	p a ŋ a r e ŋ a n
pangastuti	p a ŋ a s t u t i
pangawas	p a ŋ a w a s
pangenan	p a ŋ e n a n
pangestu	p a ŋ e s t u
panggang	p a ŋ ɡ̤ a ŋ
panggol	p a ŋ ɡ̤ o l
panggonan	p a ŋ ɡ̤ o n a n
panggung	p a ŋ ɡ̤ u ŋ
panggungreja	p a ŋ ɡ̤ u ŋ r e d͡ʒ̤ a
pangiri	p a ŋ i r i
pangkah	p a ŋ k a h
pangkajene	p a ŋ k a d͡ʒ̤ e n e
pangkalan	p a ŋ k a l a n
pangkur	p a ŋ k u r
pangripta	p a ŋ r i p t a
pangumbah	p a ŋ u m b̤ a h
pangumbaran	p a ŋ u m b̤ a r a n
panguwasa	p a ŋ u w a s a
paniai	p a n i a i
paninggaran	p a n i ŋ ɡ̤ a r a n
paniya	p a n i j a
panjaitan	p a n d͡ʒ̤ a i t a n
panjala	p a n d͡ʒ̤ a l a
panjang	p a n d͡ʒ̤ a ŋ
panjatan	p a n d͡ʒ̤ a t a n
panji	p a n d͡ʒ̤ i
pannonhalma	p a n n o n h a l m a
panorpoides	p a n o r p o i d̪̤ e s
pant	p a n t
pantai	p a n t a i
pantau	p a n t a u
pantun	p a n t u n
panulis	p a n u l i s
panyambaran	p a ɲ a m b̤ a r a n
panyelidik	p a ɲ e l i d̪̤ i k
panyipatan	p a ɲ i p a t a n
papan	p a p a n
papar	p a p a r
papaya	p a p a j a
papiamento	p a p i a m e n t o
papua	p a p u a
papuah	p a p u a h
papyrus	p a p j r u s
paquin	p a q u i n
par	p a r
para	p a r a
paraga	p a r a ɡ̤ a
parahyangan	p a r a h j a ŋ a n
parakan	p a r a k a n
parama	p a r a m a
paramasan	p a r a m a s a n
paramida	p a r a m i d̪̤ a
paramitha	p a r a m i ʈ a
parang	p a r a ŋ
parangkusuma	p a r a ŋ k u s u m a
parasa	p a r a s a
paratha	p a r a ʈ a
pardo	p a r d̪̤ o
pare	p a r e
parejo	p a r e d͡ʒ̤ o
parenggean	p a r e ŋ ɡ̤ e a n
pari	p a r i
parigi	p a r i ɡ̤ i
paringi	p a r i ŋ i
paringin	p a r i ŋ i n
paris	p a r i s
pariwisata	p a r i w i s a t a
park	p a r k
parma	p a r m a
parsi	p a r s i
parsons	p a r s o n s
parsyah	p a r s j a h
partai	p a r t a i
party	p a r t j
pas	p a s
pasaleman	p a s a l e m a n
pasaman	p a s a m a n
pasang	p a s a ŋ
pasar	p a s a r
pasarbanggi	p a s a r b̤ a ŋ ɡ̤ i
pascal	p a s t͡ʃ a l
pasean	p a s e a n
paser	p a s e r
pasifik	p a s i f i k
pasir	p a s i r
pasisir	p a s i s i r
pasisiran	p a s i s i r a n
paskah	p a s k a h
pasongsongan	p a s o ŋ s o ŋ a n
pasqua	p a s q u a
pasternak	p a s t e r n a k
pastor	p a s t o r
pastoral	p a s t o r a l
pastry	p a s t r j
pasuruan	p a s u r u a n
pat	p a t
patah	p a t a h
patean	p a t e a n
patebon	p a t e b̤ o n
patel	p a t e l
paterson	p a t e r s o n
pathi	p a ʈ i
pathiri	p a ʈ i r i
pathok	p a ʈ o k
pathuk	p a ʈ u k
pati	p a t i
patih	p a t i h
patimuan	p a t i m u a n
patrang	p a t r a ŋ
patras	p a t r a s
patricia	p a t r i t͡ʃ i a
patricks	p a t r i t͡ʃ k s
patrio	p a t r i o
patriotik	p a t r i o t i k
patten	p a t t e n
patterson	p a t t e r s o n
pattikawa	p a t t i k a w a
patwardhan	p a t w a r ɖ̤ a n
paulista	p a u l i s t a
paulowna	p a u l o w n a
paus	p a u s
pavlovna	p a v l o v n a
pawarna	p a w a r n a
pawiyatan	p a w i j a t a n
pawon	p a w o n
payangan	p a j a ŋ a n
payudara	p a j u d̪̤ a r a
payung	p a j u ŋ
pazza	p a z z a
pbb	p b̤ b̤
pdb	p d̪̤ b̤
peacock	p e a t͡ʃ o t͡ʃ k
peak	p e a k
pears	p e a r s
pecalungan	p e t͡ʃ a l u ŋ a n
pecut	p e t͡ʃ u t
pedhes	p e ɖ̤ e s
pedhet	p e ɖ̤ e t
pedhot	p e ɖ̤ o t
pedrosa	p e d̪̤ r o s a
pedunung	p e d̪̤ u n u ŋ
pegandon	p e ɡ̤ a n d̪̤ o n
pegantenan	p e ɡ̤ a n t e n a n
pegunungan	p e ɡ̤ u n u ŋ a n
peirce	p e i r t͡ʃ e
pejabat	p e d͡ʒ̤ a b̤ a t
pejagoan	p e d͡ʒ̤ a ɡ̤ o a n
pejawaran	p e d͡ʒ̤ a w a r a n
pekal	p e k a l
pekalongan	p e k a l o ŋ a n
peken	p e k e n
pekerjaan	p e k e r d͡ʒ̤ a a n
pekerti	p e k e r t i
peking	p e k i ŋ
pekunc	p e k u n t͡ʃ
pekutatan	p e k u t a t a n
pelaihari	p e l a i h a r i
pelaksana	p e l a k s a n a
pelatihan	p e l a t i h a n
pelawak	p e l a w a k
pelem	p e l e m
peliharakan	p e l i h a r a k a n
pelindhungan	p e l i n ɖ̤ u ŋ a n
peliung	p e l i u ŋ
pelras	p e l r a s
pemaca	p e m a t͡ʃ a
pemain	p e m a i n
pemalang	p e m a l a ŋ
pemantapan	p e m a n t a p a n
pembakaran	p e m b̤ a k a r a n
pembalap	p e m b̤ a l a p
pembangunan	p e m b̤ a ŋ u n a n
pembinaan	p e m b̤ i n a a n
pemenang	p e m e n a ŋ
pemeriksa	p e m e r i k s a
pemrograman	p e m r o ɡ̤ r a m a n
pemuka	p e m u k a
pena	p e n a
penajam	p e n a d͡ʒ̤ a m
penanaman	p e n a n a m a n
penanggulangan	p e n a ŋ ɡ̤ u l a ŋ a n
penangsang	p e n a ŋ s a ŋ
penataran	p e n a t a r a n
penawangan	p e n a w a ŋ a n
pendanaan	p e n d̪̤ a n a a n
pendapatan	p e n d̪̤ a p a t a n
pendem	p e n d̪̤ e m
pendet	p e n d̪̤ e t
pendhem	p e n ɖ̤ e m
pendidikan	p e n d̪̤ i d̪̤ i k a n
penduduk	p e n d̪̤ u d̪̤ u k
pendula	p e n d̪̤ u l a
penebel	p e n e b̤ e l
penelitian	p e n e l i t i a n
penembung	p e n e m b̤ u ŋ
penempatan	p e n e m p a t a n
penerapan	p e n e r a p a n
penerus	p e n e r u s
pengadegan	p e ŋ a d̪̤ e ɡ̤ a n
pengarang	p e ŋ a r a ŋ
pengaron	p e ŋ a r o n
pengawas	p e ŋ a w a s
pengawasan	p e ŋ a w a s a n
pengayoman	p e ŋ a j o m a n
pengembangan	p e ŋ e m b̤ a ŋ a n
pengging	p e ŋ ɡ̤ i ŋ
pengiri	p e ŋ i r i
pengkajian	p e ŋ k a d͡ʒ̤ i a n
penida	p e n i d̪̤ a
peninggalan	p e n i ŋ ɡ̤ a l a n
penipu	p e n i p u
penjabat	p e n d͡ʒ̤ a b̤ a t
penjara	p e n d͡ʒ̤ a r a
pentandra	p e n t a n d̪̤ r a
pentil	p e n t i l
peny	p e ɲ
penyanyi	p e ɲ a ɲ i
penyehatan	p e ɲ e h a t a n
pepe	p e p e
perahu	p e r a h u
perak	p e r a k
perancis	p e r a n t͡ʃ i s
perang	p e r a ŋ
perbankan	p e r b̤ a n k a n
percher	p e r t͡ʃ h e r
percil	p e r t͡ʃ i l
perdagangan	p e r d̪̤ a ɡ̤ a ŋ a n
perdamaian	p e r d̪̤ a m a i a n
perdana	p e r d̪̤ a n a
perdanakusuma	p e r d̪̤ a n a k u s u m a
perdhana	p e r ɖ̤ a n a
perencanaan	p e r e n t͡ʃ a n a a n
perez	p e r e z
perhubungan	p e r h u b̤ u ŋ a n
peri	p e r i
perikanan	p e r i k a n a n
perindustrian	p e r i n d̪̤ u s t r i a n
periukan	p e r i u k a n
perkawis	p e r k a w i s
perkins	p e r k i n s
perlindhungan	p e r l i n ɖ̤ u ŋ a n
perlindungan	p e r l i n d̪̤ u ŋ a n
permai	p e r m a i
permata	p e r m a t a
perri	p e r r i
perry	p e r r j
persia	p e r s i a
persiapan	p e r s i a p a n
pertahanan	p e r t a h a n a n
pertama	p e r t a m a
pertanahan	p e r t a n a h a n
pertanian	p e r t a n i a n
pertinggi	p e r t i ŋ ɡ̤ i
pertiwi	p e r t i w i
pesanggrahan	p e s a ŋ ɡ̤ r a h a n
pesantenan	p e s a n t e n a n
pesen	p e s e n
pesepak	p e s e p a k
pesindhen	p e s i n ɖ̤ e n
pesisir	p e s i s i r
peso	p e s o
pet	p e t
petak	p e t a k
petaling	p e t a l i ŋ
petanahan	p e t a n a h a n
petang	p e t a ŋ
petani	p e t a n i
petarukan	p e t a r u k a n
peter	p e t e r
peterongan	p e t e r o ŋ a n
petrus	p e t r u s
petualangan	p e t u a l a ŋ a n
petung	p e t u ŋ
petungkriana	p e t u ŋ k r i a n a
phillips	p h i l l i p s
photoshop	p h o t o s h o p
phraya	p h r a j a
phu	p h u
phylogeny	p h j l o ɡ̤ e ɲ
piacenza	p i a t͡ʃ e n z a
piagam	p i a ɡ̤ a m
piani	p i a n i
pibil	p i b̤ i l
pictures	p i t͡ʃ t u r e s
pidie	p i d̪̤ i e
piece	p i e t͡ʃ e
piero	p i e r o
pierre	p i e r r e
pieter	p i e t e r
pijnacker	p i d͡ʒ̤ n a t͡ʃ k e r
pilanduk	p i l a n d̪̤ u k
pilipina	p i l i p i n a
pilipinas	p i l i p i n a s
pilkington	p i l k i ŋ t o n
pilot	p i l o t
pimparel	p i m p a r e l
pinang	p i n a ŋ
pinara	p i n a r a
pindho	p i n ɖ̤ o
pine	p i n e
pineda	p i n e d̪̤ a
pinerang	p i n e r a ŋ
pinette	p i n e t t e
ping	p i ŋ
pinggir	p i ŋ ɡ̤ i r
pinggiran	p i ŋ ɡ̤ i r a n
pingkan	p i ŋ k a n
pink	p i n k
pinoro	p i n o r o
pinrang	p i n r a ŋ
pins	p i n s
pinter	p i n t e r
pipa	p i p a
pipih	p i p i h
pipo	p i p o
pirangon	p i r a ŋ o n
piranti	p i r a n t i
piring	p i r i ŋ
pirlo	p i r l o
pisando	p i s a n d̪̤ o
pisau	p i s a u
piska	p i s k a
pit	p i t
pitap	p i t a p
pitha	p i ʈ a
pithik	p i ʈ i k
pitik	p i t i k
pitman	p i t m a n
pitt	p i t t
pittsburgh	p i t t s b̤ u r ɡ̤ h
pitu	p i t u
pitung	p i t u ŋ
pituruh	p i t u r u h
pius	p i u s
pizarro	p i z a r r o
pl	p l
plains	p l a i n s
plan	p l a n
plandaan	p l a n d̪̤ a a n
planet	p l a n e t
planggatan	p l a ŋ ɡ̤ a t a n
plantungan	p l a n t u ŋ a n
plaosan	p l a o s a n
plasa	p l a s a
plasaklat	p l a s a k l a t
plate	p l a t e
play	p l a j
playen	p l a j e n
player	p l a j e r
plaza	p l a z a
plemahan	p l e m a h a n
plered	p l e r e d̪̤
pletok	p l e t o k
pletuk	p l e t u k
plumbon	p l u m b̤ o n
plumier	p l u m i e r
plummer	p l u m m e r
plumpungan	p l u m p u ŋ a n
plupuh	p l u p u h
pluris	p l u r i s
pm	p m
pneumatik	p n e u m a t i k
poci	p o t͡ʃ i
pocong	p o t͡ʃ o ŋ
pocung	p o t͡ʃ u ŋ
poda	p o d̪̤ a
podlaska	p o d̪̤ l a s k a
podlaski	p o d̪̤ l a s k i
poernomo	p o e r n o m o
poh	p o h
pohan	p o h a n
pohon	p o h o n
poirot	p o i r o t
pok	p o k
pol	p o l
polah	p o l a h
polandhia	p o l a n ɖ̤ i a
polandia	p o l a n d̪̤ i a
polanharja	p o l a n h a r d͡ʒ̤ a
poleang	p o l e a ŋ
polen	p o l e n
polewali	p o l e w a l i
polin	p o l i n
polinesia	p o l i n e s i a
politic	p o l i t i t͡ʃ
politik	p o l i t i k
pollio	p o l l i o
pollo	p o l l o
polo	p o l o
polong	p o l o ŋ
polonia	p o l o n i a
polski	p o l s k i
poncokusumo	p o n t͡ʃ o k u s u m o
poncowarno	p o n t͡ʃ o w a r n o
pondok	p o n d̪̤ o k
ponggok	p o ŋ ɡ̤ o k
ponjong	p o n d͡ʒ̤ o ŋ
ponorogo	p o n o r o ɡ̤ o
ponrang	p o n r a ŋ
pontianak	p o n t i a n a k
pony	p o ɲ
poran	p o r a n
porco	p o r t͡ʃ o
port	p o r t
portela	p o r t e l a
porter	p o r t e r
portugal	p o r t u ɡ̤ a l
portugis	p o r t u ɡ̤ i s
portuguesa	p o r t u ɡ̤ u e s a
pot	p o t
potala	p o t a l a
potter	p o t t e r
potts	p o t t s
powder	p o w d̪̤ e r
powell	p o w e l l
powiat	p o w i a t
ppang	p p a ŋ
pr	p r
prabalingga	p r a b̤ a l i ŋ ɡ̤ a
prabowo	p r a b̤ o w o
pracimantara	p r a t͡ʃ i m a n t a r a
prada	p r a d̪̤ a
pradesh	p r a d̪̤ e s h
praga	p r a ɡ̤ a
pragaan	p r a ɡ̤ a a n
prairie	p r a i r i e
praja	p r a d͡ʒ̤ a
prajanji	p r a d͡ʒ̤ a n d͡ʒ̤ i
prajekan	p r a d͡ʒ̤ e k a n
prajuritan	p r a d͡ʒ̤ u r i t a n
prakoso	p r a k o s o
prakreta	p r a k r e t a
pramawati	p r a m a w a t i
prambanan	p r a m b̤ a n a n
pramestuti	p r a m e s t u t i
pramita	p r a m i t a
prammer	p r a m m e r
prancis	p r a n t͡ʃ i s
prangko	p r a ŋ k o
prapatan	p r a p a t a n
prasarana	p r a s a r a n a
prasetya	p r a s e t j a
prasetyo	p r a s e t j o
prasman	p r a s m a n
pratama	p r a t a m a
pratistha	p r a t i s ʈ a
pratt	p r a t t
pravde	p r a v d̪̤ e
prayut	p r a j u t
predjama	p r e d̪̤ d͡ʒ̤ a m a
prefektur	p r e f e k t u r
prembun	p r e m b̤ u n
presentation	p r e s e n t a t i o n
presiden	p r e s i d̪̤ e n
presidh	p r e s i ɖ̤
presidhen	p r e s i ɖ̤ e n
press	p r e s s
pressley	p r e s s l e j
prestasi	p r e s t a s i
presto	p r e s t o
price	p r i t͡ʃ e
priest	p r i e s t
prihatin	p r i h a t i n
prima	p r i m a
prince	p r i n t͡ʃ e
principaliter	p r i n t͡ʃ i p a l i t e r
pring	p r i ŋ
pringapus	p r i ŋ a p u s
pringkuku	p r i ŋ k u k u
prings	p r i ŋ s
prionotolepis	p r i o n o t o l e p i s
pritchard	p r i t t͡ʃ h a r d̪̤
privans	p r i v a n s
priyanto	p r i j a n t o
priyono	p r i j o n o
process	p r o t͡ʃ e s s
procter	p r o t͡ʃ t e r
prodhuser	p r o ɖ̤ u s e r
profesi	p r o f e s i
program	p r o ɡ̤ r a m
prompt	p r o m p t
propicio	p r o p i t͡ʃ i o
proppo	p r o p p o
prost	p r o s t
protugis	p r o t u ɡ̤ i s
provinsi	p r o v i n s i
prudnicka	p r u d̪̤ n i t͡ʃ k a
przybek	p r z j b̤ e k
pseudoplatanus	p s e u d̪̤ o p l a t a n u s
psyche	p s j t͡ʃ h e
pt	p t
ptik	p t i k
ptolemaeus	p t o l e m a e u s
publik	p u b̤ l i k
pucakwangi	p u t͡ʃ a k w a ŋ i
pucuk	p u t͡ʃ u k
pucuking	p u t͡ʃ u k i ŋ
pucung	p u t͡ʃ u ŋ
pudak	p u d̪̤ a k
puff	p u f f
puger	p u ɡ̤ e r
pujakusuman	p u d͡ʒ̤ a k u s u m a n
pujaraharja	p u d͡ʒ̤ a r a h a r d͡ʒ̤ a
pujer	p u d͡ʒ̤ e r
pujiastuti	p u d͡ʒ̤ i a s t u t i
pujiwati	p u d͡ʒ̤ i w a t i
pujon	p u d͡ʒ̤ o n
pulalo	p u l a l o
pulang	p u l a ŋ
pulau	p u l a u
pulihkan	p u l i h k a n
pulisic	p u l i s i t͡ʃ
pulitik	p u l i t i k
pulitzer	p u l i t z e r
pulo	p u l o
pulosari	p u l o s a r i
pumu	p u m u
pun	p u n
puncak	p u n t͡ʃ a k
puncu	p u n t͡ʃ u
pundak	p u n d̪̤ a k
punggal	p u ŋ ɡ̤ a l
punggelan	p u ŋ ɡ̤ e l a n
punishment	p u n i s h m e n t
punung	p u n u ŋ
pupuan	p u p u a n
pupuh	p u p u h
pura	p u r a
purba	p u r b̤ a
purbalingga	p u r b̤ a l i ŋ ɡ̤ a
purbandono	p u r b̤ a n d̪̤ o n o
purei	p u r e i
puri	p u r i
puring	p u r i ŋ
purnama	p u r n a m a
purnawijaya	p u r n a w i d͡ʒ̤ a j a
purnomo	p u r n o m o
purple	p u r p l e
purrington	p u r r i ŋ t o n
pursall	p u r s a l l
purwa	p u r w a
purwaasri	p u r w a a s r i
purwadadi	p u r w a d̪̤ a d̪̤ i
purwaharja	p u r w a h a r d͡ʒ̤ a
purwakarta	p u r w a k a r t a
purwakerta	p u r w a k e r t a
purwanegara	p u r w a n e ɡ̤ a r a
purwantara	p u r w a n t a r a
purwareja	p u r w a r e d͡ʒ̤ a
purwasito	p u r w a s i t o
purwodadi	p u r w o d̪̤ a d̪̤ i
purworejo	p u r w o r e d͡ʒ̤ o
pusam	p u s a m
pusat	p u s a t
pushkin	p u s h k i n
pusillus	p u s i l l u s
puspita	p u s p i t a
pustaka	p u s t a k a
putera	p u t e r a
putih	p u t i h
putra	p u t r a
putri	p u t r i
puyang	p u j a ŋ
pym	p j m
pyramus	p j r a m u s
qa	q a
qah	q a h
qajar	q a d͡ʒ̤ a r
qarara	q a r a r a
qasim	q a s i m
qavam	q a v a m
qian	q i a n
quaoar	q u a o a r
quarter	q u a r t e r
qubays	q u b̤ a j s
qudsi	q u d̪̤ s i
que	q u e
queso	q u e s o
quoc	q u o t͡ʃ
qur	q u r
quran	q u r a n
qurashi	q u r a s h i
qurasyi	q u r a s j i
ra	r a
raat	r a a t
rabah	r a b̤ a h
rabi	r a b̤ i
rabiot	r a b̤ i o t
race	r a t͡ʃ e
racer	r a t͡ʃ e r
rachman	r a t͡ʃ h m a n
rad	r a d̪̤
radcliffe	r a d̪̤ t͡ʃ l i f f e
radhio	r a ɖ̤ i o
radja	r a d̪̤ d͡ʒ̤ a
rafiq	r a f i q
raga	r a ɡ̤ a
ragajampi	r a ɡ̤ a d͡ʒ̤ a m p i
ragawi	r a ɡ̤ a w i
ragi	r a ɡ̤ i
raglan	r a ɡ̤ l a n
ragusa	r a ɡ̤ u s a
rah	r a h
rahardjo	r a h a r d̪̤ d͡ʒ̤ o
rahayu	r a h a j u
rahina	r a h i n a
rahman	r a h m a n
rahmania	r a h m a n i a
rahmat	r a h m a t
rai	r a i
railway	r a i l w a j
raimondo	r a i m o n d̪̤ o
rais	r a i s
raja	r a d͡ʒ̤ a
rajah	r a d͡ʒ̤ a h
rajang	r a d͡ʒ̤ a ŋ
rajegwesi	r a d͡ʒ̤ e ɡ̤ w e s i
rakit	r a k i t
raksa	r a k s a
raksasa	r a k s a s a
rakyat	r a k j a t
ralliement	r a l l i e m e n t
ralston	r a l s t o n
rama	r a m a
ramaka	r a m a k a
ramayana	r a m a j a n a
rambipuji	r a m b̤ i p u d͡ʒ̤ i
rambut	r a m b̤ u t
rami	r a m i
ramon	r a m o n
rampai	r a m p a i
rampling	r a m p l i ŋ
ramsey	r a m s e j
ran	r a n
rancag	r a n t͡ʃ a ɡ̤
rancing	r a n t͡ʃ i ŋ
randah	r a n d̪̤ a h
randell	r a n d̪̤ e l l
randhudhongkal	r a n ɖ̤ u ɖ̤ o ŋ k a l
randublatung	r a n d̪̤ u b̤ l a t u ŋ
randudongkal	r a n d̪̤ u d̪̤ o ŋ k a l
rang	r a ŋ
rangan	r a ŋ a n
rangka	r a ŋ k a
rangkah	r a ŋ k a h
rangkasbitung	r a ŋ k a s b̤ i t u ŋ
rangkuti	r a ŋ k u t i
rangsang	r a ŋ s a ŋ
ransier	r a n s i e r
rant	r a n t
rantak	r a n t a k
rantau	r a n t a u
rantebua	r a n t e b̤ u a
ranto	r a n t o
rapa	r a p a
rapid	r a p i d̪̤
rappang	r a p p a ŋ
rard	r a r d̪̤
raseksa	r a s e k s a
rasi	r a s i
rasio	r a s i o
rasiwan	r a s i w a n
rasti	r a s t i
rastrelli	r a s t r e l l i
rasya	r a s j a
rat	r a t
rata	r a t a
ratapan	r a t a p a n
ratna	r a t n a
ratnawati	r a t n a w a t i
ratu	r a t u
ravenna	r a v e n n a
rawa	r a w a
rawah	r a w a h
rawakele	r a w a k e l e
rawalo	r a w a l o
rawas	r a w a s
rawasari	r a w a s a r i
rawi	r a w i
rawipula	r a w i p u l a
rawska	r a w s k a
raya	r a j a
razak	r a z a k
razi	r a z i
rbaycan	r b̤ a j t͡ʃ a n
rbi	r b̤ i
rc	r t͡ʃ
rcegovina	r t͡ʃ e ɡ̤ o v i n a
rcegowina	r t͡ʃ e ɡ̤ o w i n a
rdoba	r d̪̤ o b̤ a
re	r e
rea	r e a
reba	r e b̤ a
reban	r e b̤ a n
rebi	r e b̤ i
rebosado	r e b̤ o s a d̪̤ o
rebutan	r e b̤ u t a n
reca	r e t͡ʃ a
redirect	r e d̪̤ i r e t͡ʃ t
reeves	r e e v e s
regatas	r e ɡ̤ a t a s
reggio	r e ɡ̤ ɡ̤ i o
regional	r e ɡ̤ i o n a l
regulasi	r e ɡ̤ u l a s i
reimoseri	r e i m o s e r i
reimsbygda	r e i m s b̤ j ɡ̤ d̪̤ a
reiner	r e i n e r
reja	r e d͡ʒ̤ a
rejang	r e d͡ʒ̤ a ŋ
rejo	r e d͡ʒ̤ o
rekor	r e k o r
relleno	r e l l e n o
rembang	r e m b̤ a ŋ
remo	r e m o
rempah	r e m p a h
renaisans	r e n a i s a n s
renang	r e n a ŋ
rencong	r e n t͡ʃ o ŋ
rendang	r e n d̪̤ a ŋ
rengga	r e ŋ ɡ̤ a
republic	r e p u b̤ l i t͡ʃ
republik	r e p u b̤ l i k
reshteh	r e s h t e h
resmi	r e s m i
respublikan	r e s p u b̤ l i k a n
respublikas	r e s p u b̤ l i k a s
retba	r e t b̤ a
retinoat	r e t i n o a t
reto	r e t o
reyniersz	r e j n i e r s z
reynolds	r e j n o l d̪̤ s
rez	r e z
reza	r e z a
rgen	r ɡ̤ e n
rgi	r ɡ̤ i
rgo	r ɡ̤ o
rhapsody	r h a p s o d̪̤ j
ri	r i
riam	r i a m
rianto	r i a n t o
riau	r i a u
ribeiro	r i b̤ e i r o
rica	r i t͡ʃ a
riccardi	r i t͡ʃ t͡ʃ a r d̪̤ i
ricci	r i t͡ʃ t͡ʃ i
rice	r i t͡ʃ e
richard	r i t͡ʃ h a r d̪̤
richards	r i t͡ʃ h a r d̪̤ s
richet	r i t͡ʃ h e t
richter	r i t͡ʃ h t e r
ridley	r i d̪̤ l e j
rie	r i e
riebeeck	r i e b̤ e e t͡ʃ k
riedl	r i e d̪̤ l
riemann	r i e m a n n
rijn	r i d͡ʒ̤ n
rika	r i k a
rikah	r i k a h
ril	r i l
riley	r i l e j
rilium	r i l i u m
riliyum	r i l i j u m
rimba	r i m b̤ a
rimbaud	r i m b̤ a u d̪̤
rimbi	r i m b̤ i
rimini	r i m i n i
rina	r i n a
ringan	r i ŋ a n
ringgit	r i ŋ ɡ̤ i t
ringinarum	r i ŋ i n a r u m
ringinreja	r i ŋ i n r e d͡ʒ̤ a
rinomhota	r i n o m h o t a
riodik	r i o d̪̤ i k
riordan	r i o r d̪̤ a n
riptayasan	r i p t a j a s a n
risan	r i s a n
riset	r i s e t
risiko	r i s i k o
risma	r i s m a
river	r i v e r
rivers	r i v e r s
riwayat	r i w a j a t
riwil	r i w i l
rix	r i ks
riyanto	r i j a n t o
riyaya	r i j a j a
riza	r i z a
rizaldi	r i z a l d̪̤ i
rizki	r i z k i
rizky	r i z k j
rk	r k
rkebekk	r k e b̤ e k k
rkelangen	r k e l a ŋ e n
rn	r n
rnemyr	r n e m j r
rnevatn	r n e v a t n
rnfjell	r n f d͡ʒ̤ e l l
rnstadmoen	r n s t a d̪̤ m o e n
road	r o a d̪̤
roban	r o b̤ a n
robatal	r o b̤ a t a l
robb	r o b̤ b̤
robbe	r o b̤ b̤ e
robben	r o b̤ b̤ e n
robbins	r o b̤ b̤ i n s
robert	r o b̤ e r t
roberts	r o b̤ e r t s
robertson	r o b̤ e r t s o n
robotics	r o b̤ o t i t͡ʃ s
roche	r o t͡ʃ h e
rock	r o t͡ʃ k
rockas	r o t͡ʃ k a s
roddick	r o d̪̤ d̪̤ i t͡ʃ k
rodin	r o d̪̤ i n
rodman	r o d̪̤ m a n
rodos	r o d̪̤ o s
rodr	r o d̪̤ r
rodrigo	r o d̪̤ r i ɡ̤ o
rodrik	r o d̪̤ r i k
roemah	r o e m a h
rogaland	r o ɡ̤ a l a n d̪̤
rohali	r o h a l i
rohingya	r o h i ŋ j a
rojas	r o d͡ʒ̤ a s
rokan	r o k a n
roll	r o l l
rolly	r o l l j
rolo	r o l o
rologi	r o l o ɡ̤ i
rom	r o m
roma	r o m a
roman	r o m a n
romana	r o m a n a
romania	r o m a n i a
romansh	r o m a n s h
romeo	r o m e o
romsdal	r o m s d̪̤ a l
ron	r o n
ronaldo	r o n a l d̪̤ o
rong	r o ŋ
ronggeng	r o ŋ ɡ̤ e ŋ
rongkop	r o ŋ k o p
ronom	r o n o m
ront	r o n t
roos	r o o s
ropa	r o p a
ropah	r o p a h
roris	r o r i s
rose	r o s e
rosidi	r o s i d̪̤ i
rosmaniar	r o s m a n i a r
rossi	r o s s i
rot	r o t
roti	r o t i
rotterdam	r o t t e r d̪̤ a m
rotundus	r o t u n d̪̤ u s
rovers	r o v e r s
rowang	r o w a ŋ
rowe	r o w e
rowokangkung	r o w o k a ŋ k u ŋ
rowokele	r o w o k e l e
rowosari	r o w o s a r i
royale	r o j a l e
rrud	r r u d̪̤
rselv	r s e l v
rsi	r s i
rsian	r s i a n
rsviki	r s v i k i
rubaie	r u b̤ a i e
rubaru	r u b̤ a r u
rubrum	r u b̤ r u m
rud	r u d̪̤
rudge	r u d̪̤ ɡ̤ e
ruediger	r u e d̪̤ i ɡ̤ e r
ruf	r u f
ruhiana	r u h i a n a
ruhollah	r u h o l l a h
rum	r u m
rumania	r u m a n i a
rumpun	r u m p u n
rums	r u m s
rumsmarka	r u m s m a r k a
run	r u n
rungkat	r u ŋ k a t
runjung	r u n d͡ʒ̤ u ŋ
runner	r u n n e r
rupsi	r u p s i
rusa	r u s a
rusia	r u s i a
ruslan	r u s l a n
rusli	r u s l i
russel	r u s s e l
russell	r u s s e l l
ruswita	r u s w i t a
ruth	r u ʈ
rvasi	r v a s i
rve	r v e
ryukyu	r j u k j u
rz	r z
sa	s a
sabato	s a b̤ a t o
sabbath	s a b̤ b̤ a ʈ
saben	s a b̤ e n
sabil	s a b̤ i l
sadang	s a d̪̤ a ŋ
sadar	s a d̪̤ a r
sadat	s a d̪̤ a t
sadhang	s a ɖ̤ a ŋ
sadikin	s a d̪̤ i k i n
sadino	s a d̪̤ i n o
sadono	s a d̪̤ o n o
safafa	s a f a f a
sagan	s a ɡ̤ a n
sagdiyev	s a ɡ̤ d̪̤ i j e v
saget	s a ɡ̤ e t
sagger	s a ɡ̤ ɡ̤ e r
sagna	s a ɡ̤ n a
saha	s a h a
sahabat	s a h a b̤ a t
sahal	s a h a l
saham	s a h a m
sahara	s a h a r a
